Area,Sample,count,mean,std,min,25%,50%,75%,max
Area1,Concentric circles,126.0,8.483547912698414,4.792902147853092,0.49711099999999997,4.95180375,7.391520999999999,11.24983725,25.339414
Area1,Full CB,132.0,10.53843113157576,7.647046561012113,1.41448855,5.409128563000001,8.585588497,12.5438549725,37.516408399999996
Area1,No pattern,122.0,12.610981598360656,8.163339268983014,1.0095399999999999,6.10019625,10.661458499999998,17.2585765,37.085259
Area1,Parallel lines,135.0,7.558236948148149,4.976953444066492,0.526065,3.8827835,6.163926,10.728486499999999,22.786663
Area1,Radial,128.0,9.036273375,5.102133191277755,0.701468,4.9019175,7.9425894999999995,12.315194250000001,24.335935
Area2,Concentric circles,375.0,9.429089501333335,6.257163582026746,0.251419,4.915394000000001,8.171828,12.8182255,50.1192
Area2,Full CB,377.0,11.153996907509283,8.081392219618635,0.27522847699999997,5.793390062,9.151772894,14.34731867,51.64362986
Area2,No pattern,402.0,8.582744863184079,6.069862617110058,0.47280500000000003,4.45647975,7.405179,11.387332749999999,38.305054999999996
Area2,Parallel lines,367.0,7.387717471389645,5.161957765949206,0.758191,3.3698295,6.042242,10.4025485,32.501269
Area2,Radial,390.0,9.310027661538461,5.8217596688069975,1.047382,4.90668325,7.9997620000000005,12.03502025,34.992821
Area3,Concentric circles,686.0,10.30610939941691,7.609239292163305,0.681665,5.105817,8.497699,13.531444999999998,64.64269300000001
Area3,Full CB,427.0,10.913987755850117,7.317348008654549,0.21256595,5.587773729,9.311671182000001,14.502034745,43.50265034
Area3,No pattern,690.0,5.686272447826087,5.019139945321529,0.158576,2.6530655000000003,4.303710499999999,7.0607085,44.985223
Area3,Parallel lines,656.0,6.7338122042682915,4.7834956480033926,0.20187,3.00560925,5.5686789999999995,9.382506,24.089135
Area3,Radial,627.0,8.624803784688996,5.705444488798955,0.105501,4.548474,7.356926,11.305634,39.249912
Area4,Concentric circles,863.0,10.970860062572424,7.878079696586989,0.599,5.2656945,8.947016,14.393704500000002,54.14885
Area4,Full CB,1114.0,13.185645307843807,9.162225360720168,0.379448554,6.66782482875,11.089508785,17.5092797275,68.71180191
Area4,No pattern,836.0,5.283797011961722,5.3409004580020785,0.027999999999999997,2.3579774999999996,4.0018785,6.4168975,65.541193
Area4,Parallel lines,892.0,7.08646578587444,5.104494534217675,0.232898,3.3252717500000006,5.8301575,9.28951175,30.612147999999998
Area4,Radial,905.0,9.019978088397789,6.961637517757551,0.167908,4.601678,7.115413,11.701967999999999,72.736509
