Area,Sample,Localization error (mm)
Area1,Concentric circles,7.391520999999999
Area1,Full CB,8.585588497
Area1,No pattern,10.661458499999998
Area1,Parallel lines,6.163926
Area1,Radial,7.9425894999999995
Area2,Concentric circles,8.171828
Area2,Full CB,9.151772894
Area2,No pattern,7.405179
Area2,Parallel lines,6.042242
Area2,Radial,7.9997620000000005
Area3,Concentric circles,8.497699
Area3,Full CB,9.311671182000001
Area3,No pattern,4.303710499999999
Area3,Parallel lines,5.5686789999999995
Area3,Radial,7.356926
Area4,Concentric circles,8.947016
Area4,Full CB,11.089508785
Area4,No pattern,4.0018785
Area4,Parallel lines,5.8301575
Area4,Radial,7.115413
